,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0.0,0.9625,"safer, think, driver, using, safety, tesla, capability, full, self, use",we sat down with martin herrmann andreas hfer to talk about how our simulation solution carmaker 10 supports the development of adas autonomous driving functions the interview covers the radar rsi sensor model the new visualization tool movienx more 
1,1,2.0,0.9571,"people, think, self, right, full, human, conference, electronics, fair, kinda",join the leading minds driving innovation in vehicle electronics at aesin 2021 the uks premier automotive electronics conference secure your place at the aesin conference september 16th 2021 autonomousvehicles mobility adas roadtozero
2,2,7.0,0.9571,"features, tesla, safety, safer, time, make, would, new, introduces, parts", remember though in the actual description on the page where you buy it they make it abundantly clear that it's not an autonomous driving system that you are buying but a set of adas features that will grow over time and eventually after laws change be able to be full l4/5
3,3,0.0,0.9526,"safer, think, driver, using, safety, tesla, capability, full, self, use", honestly after elon's tweet about it the guy driving would likely have been safer with autopilot engaged if it was possible in that area look what happens when you don't use autopilot certainly 2 ways to see this story that's for sure 
4,4,3.0,0.9571,"tesla, using, trip, full, self, stayed, released, speed, data, true", actually true wow very unfortunate there arent tighter laws around these things they probably are using the defence of we didnt mean tesla autopilot we just meant a car driving without a driver is on is technically on autopilot 
5,5,4.0,0.9625,"tesla, self, seat, every, accident, drivers, engaged, full, safety, non", full self driving is not even a real product available from tesla autopilot is available and requires someone to be in the drivers seat and awake responding with input to the steering wheel every few seconds what we have here is a posthumous candidate for the darwin awards 
6,6,1.0,0.9667,"long, enjoyable, drive, often, navigation, good, agreed, systems, better, drives", word games im a qualified and unlimited master mariner and was driving 340m long ships with integrated navigation and control systems autopilot reduces workload often assisting in maintaining better situational awareness by taking care of often mundane parts of navigation 
7,7,4.0,0.9571,"tesla, self, seat, every, accident, drivers, engaged, full, safety, non", 30 companies developing self driving 30 are using the same approach and then theres tesla who is clueless about self drive they are exactly the same as all others such as gm super cruise but they call it autopilot and the fan bois tout is as something special it isnt
8,8,9.0,0.9625,"using, manual, bears, tsla, please, instructions, capability, self, read, full","for years tesla has advertised its autopilot feature as a fully autonomous function the reality however is that tesla admits these features are nowhere near autonomous driving in its owners manual the company admits both 'require active driver supervision '"" "
9,9,1.0,0.9609,"long, enjoyable, drive, often, navigation, good, agreed, systems, better, drives", agreed but tesla really should do a better job of explaining autopilot enhanced autopilot navigate on autopilot full self driving etc both so cnbc doesn't use the terms interchangeably but also because a polished explainer from elon and andrej would be very cool 
10,10,7.0,0.9471,"features, tesla, safety, safer, time, make, would, new, introduces, parts", autopilot has saved my life twice acted in ways no human driver could or would to save me idc if u r skeptical i dont feel safe driving without it 
11,11,7.0,0.925,"features, tesla, safety, safer, time, make, would, new, introduces, parts", its way safer and relaxing autopilot has saved my life twice i dont check my email while driving with autopilot that would be irresponsible 
12,12,7.0,0.9654,"features, tesla, safety, safer, time, make, would, new, introduces, parts"," you see lines ""no safety features enabled "" that's car pre-autopilot active safety is all tesla's with autopolit standard feature these lines measure a human driver driving on city streets and highways autopilot is the top line and can be used only on major roads "
13,13,0.0,0.82,"safer, think, driver, using, safety, tesla, capability, full, self, use", and autopilot drivers assistance is substantially safer than driving without it 
14,14,1.0,0.971,"long, enjoyable, drive, often, navigation, good, agreed, systems, better, drives",touts systems safe/continuously improving on twt +media appearances-rogan podcast-discussed how tesla drivers could play chess on their cars touchscreens while driving-even though they shouldnt +i think autopilots getting good enough-you wont need to drive most of the time- 
15,15,5.0,0.5516,"every, one, million, registered, fsd, driven, problem, accident, miles, tesla", nothing is perfect q1 2019 in the 1st quarter we registered one accident for every 2 87 mill miles driven in which drivers had autopilot engaged for those driving without autopilot but with our active safety features we registered one accident for every 1 76 mill miles driven
16,16,3.0,0.9609,"tesla, using, trip, full, self, stayed, released, speed, data, true", they havent released anything they market as full self driving fsd they have a package called fsd that has not yet been publically released what they have for public today is called autopilot autopilot will do its best to stay in lane and keep speed at limit/other cars 
17,17,7.0,0.9526,"features, tesla, safety, safer, time, make, would, new, introduces, parts",autopilot advanced safety and convenience features are designed to assist you with the most burdensome parts of driving autopilot introduces new features and improves existing functionality to make your tesla safer and more capable over time 1of2 teslacrash
18,18,4.0,0.9357,"tesla, self, seat, every, accident, drivers, engaged, full, safety, non"," can you please haul elon before congress to testify under oath about the safety of ""autopilot "" ""full self driving "" and the fire risk with tesla's vehicles "
19,19,7.0,0.9571,"features, tesla, safety, safer, time, make, would, new, introduces, parts",from tesla $tsla - autopilot advanced safety and convenience features are designed to assist you with the most burdensome parts of driving autopilot introduces new features and improves existing functionality to make your tesla safer and more capable over time cont 
20,20,8.0,0.8714,"using, self, full, tsla, instructions, manual, responsibility, capability, safety, information", autopilot only works on highways specifically what does driving in better neighborhoods have to do with anything 
