,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,2.0,0.95,"motional, self, birds, navigation, safer, via, derq, busy, vehicles, connectedcars",motional derq to partner on technology that provides a birds eye view' to self-driving vehicles at busy intersections for safer navigation - motional connectedcars v2v v2i adas autonomousvehicles via 
1,1,0.0,0.925,"work, stressed, mind, events, car, job, possible, hr, know, fatigued",teaming upwind river and vector informatik are working together on adas autonomous driving solutions based on autosar adaptive 
2,2,3.0,0.955,"self, full, tesla, drive, car, using, version, called, capability, cant"," you both make valid points autopilot and fsd both lvl 2 are advanced driver-assistance systems there is evidence adas improves safety problem with tesla is marketing adas as ""full self driving "" when it is not misconception between the 2 is dangerous see autopilot deaths "
3,3,1.0,0.91,"marelli, radar, systems, whst, driver, autonomous, every, accident, one, driven",excited to collaborate with vector to transform advanced driver assistance systems adas and autonomous driving read the news intelligentsystems autonomousdriving 
4,4,1.0,0.969,"marelli, radar, systems, whst, driver, autonomous, every, accident, one, driven",marelli and whst wuhu sensortech intelligent technology co ltd a high-tech radar specialist signed a master cooperation agreement focused on radar sensors devoted to advanced driver-assistance systems adas and autonomous driving ad applications marelli whst china
5,5,6.0,0.9571,"growth, fsd, better, okay, wasnt, car, full, self, power, rising","acc yoy growth good ""we aim to continue driving the four stated strategic priorities performance growth innovation and sustainability "" better pricing power and rising demand lead to growth "
6,6,5.0,0.95,"fsd, car, safer, technology, already, also, ceo, one, safe, pretty", i have and i've warned my kids about those for when they are driving my car has avoided a car about to hit me twice in my blind spot when on navigate on autopilot and changing lanes it's not perfect but it's pretty darn good do you own one 
7,7,9.0,0.9437,"like, better, far, human, even, car, think, teslas, years, speak", hmm your reputation is not better than teslas autopilot is safer than human driving when you have data to prove otherwise please speak up and look less like a troll 
8,8,6.0,0.9526,"growth, fsd, better, okay, wasnt, car, full, self, power, rising", lane keeping cruise control and lane changing are great navigate on autopilot is okay the current software doesn't do full self-driving but the videos out there of those with the beta show it works much better but that remains to be seen until its rolled out to more people
9,9,5.0,0.955,"fsd, car, safer, technology, already, also, ceo, one, safe, pretty", well yea if you have the ceo on public saying that their autopilot is safer than humans driving and that the technology is already ready and in the cars rolling off the line that is misrepresentation is there evidence of bmw ceo making the same claims about their technology 
10,10,8.0,0.95,"self, cars, dogepilot, end, tesla, full, way, fact, works, fsd",multi-modal fusion transformer for end-to-end autonomous driving -- artificialintelligence ai ml datascience machinelearning bigdata iot 100daysofcode tesla driving autopilot cars paper
11,11,8.0,0.9,"self, cars, dogepilot, end, tesla, full, way, fact, works, fsd", with my benz i can change the lights for left or right way driving maybe autopilot is designed the same 
12,12,3.0,0.9308,"self, full, tesla, drive, car, using, version, called, capability, cant", well autopilot that cant drive itself is not as bad as full self driving that cant drive itself but hey some things are more profound that it sounds
