,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,2.0,0.9609,"scored, show, statistics, almost, tesla, without, new, safe, claim, gm",while the introduction of adas features like automatic braking have successfully reduced bodily injury claim frequency claim severity continues to rise we explore this and the macro trends driving claims severity in today's blog 
1,1,3.0,0.9609,"self, driver, highways, road, free, attention, systems, works, tesla, true",save the date join ceo next week november 2 2020 10am detroit | 4pm stuttgart in a free webinar synchronizing and processing high-bandwidth data in adas and automated driving development applications software ai autonomousvehicles 
2,2,8.0,0.9,"active, ratings, tesla, tests, cr, second, systems, breaking, beats, time",breaking cr tests active driving assistance systems super cruise beats autopilot for the second time adas lka acc 
3,3,0.0,0.9526,"tesla, active, consumer, reports, gm, tsla, self, one, registered, every",general motors co's gm n super cruise once again edged tesla's tsla o autopilot in an evaluation of 17 vehicles equipped with active driving assistance systems adas by consumer reports the testing organization said on wednesday 
4,4,0.0,0.9571,"tesla, active, consumer, reports, gm, tsla, self, one, registered, every","general motors co's gm n super cruise once again edged tesla's tsla o autopilot in an evaluation of 17 vehicles equipped with active driving assistance systems adas by consumer reports the testing organization said on wednesday "" $tsla $tslaq "
5,5,9.0,0.9591,"gm, tesla, active, one, edged, reports, systems, organization, consumer, co", that test was in summer before the new autopilot was out that - i admit - was just adas but the bet is still on first one of us that sends a video of his car driving him to the bar without any intervention get one bottle of whiskey from the other if you feel so sure 
6,6,4.0,0.85,"would, added, could, divided, works, voyeur, clean, gm, camera, driver", adas lv4 being the first level of actual autonomous driving 
7,7,0.0,0.955,"tesla, active, consumer, reports, gm, tsla, self, one, registered, every",general motors co's gm super cruise once again edged tesla's autopilot in an evaluation of 17 vehicles equipped with active driving assistance systems adas by consumer reports the testing organization said on wednesday $gm $tsla $f
8,8,1.0,0.95,"highway, free, rated, gm, self, tesla, said, fuel, also, future",an increase in road safety advancement in adas and automated driving technologies along with a reduction in fuel consumption will boost the demand for highway driving assist market transportation automotiveindustry safetyfirst securite 
9,9,5.0,0.94,"check, want, highways, red, showing, today, inch, infotainment, stop, hot",today we're showing off this red hot new 2020 buickencore gx with features like lane assist with lane departure warning and an 8-inch infotainment system you won't want to stop driving learn more 
10,10,3.0,0.9571,"self, driver, highways, road, free, attention, systems, works, tesla, true",new today from our ratings of active driving assistance systems acc+lka the evidence is clear if a car makes it easier for people to take their attention off the road theyre going to do sowith potentially deadly consequences 
11,11,9.0,0.9,"gm, tesla, active, one, edged, reports, systems, organization, consumer, co",rt tesla's 'autopilot' may be the most recognizable active driving assistance suite but is it the best our 2020 rating
12,12,7.0,0.9437,"self, full, tesla, ap, consumer, autoblog, notes, testing, assisted, owners", tesla must have changed the wording on it because before it would say autopilot with convince features for ap1 and autopilot or full self driving capability for ap2+ depending on which one it had 
13,13,1.0,0.85,"highway, free, rated, gm, self, tesla, said, fuel, also, future",gm super cruise rated above tesla autopilot in self-driving techshowdown 
14,14,0.0,0.9625,"tesla, active, consumer, reports, gm, tsla, self, one, registered, every",tesla in the 3rd quarter we registered one accident for every 4 59 million miles driven in which drivers had autopilot engaged for those driving without autopilot but with our active safety features we registered one accident for every 2 42 million miles driven 
15,15,0.0,0.9,"tesla, active, consumer, reports, gm, tsla, self, one, registered, every",consumer reports finds gms self-driving tech superior to teslas autopilot 
16,16,6.0,0.8714,"gm, tesla, tech, rated, autonomous, showdown, one, test, get, intervention",gm super cruise rated above tesla autopilot in autonomous driving tech showdown 
