,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,3.0,0.9526,"self, tesla, gm, full, better, goes, distant, beta, rated, multi", re gm having superior adas driving assistance you highlighted the fact that tesla doesn't focus on driver monitoring as much truth but the whole point is safety is it not why no safety stats in the report cr did the same thing in 2018 
1,1,9.0,0.9437,"tesla, systems, ramp, currently, driver, drive, car, responsive, distant, beta",so what you are really saying is that assuming the driver is attentive and responsive [pssst thats a requirement for all adas systems driving in general] is that autopilot has the best performance and is the most capable got it 
2,2,1.0,0.95,"self, tesla, study, cadillac, easy, safely, use, experts, iso, register",join the adas development experts from ansys and blackberry qnx in our upcoming webinar on how to safely consolidate mixed criticality functions on the same platform for advanced driving applications register now autonomousvehicles iso26262 
3,3,8.0,0.9591,"development, systems, driver, reports, second, aws, ads, requires, nov, resources",autonomous vehicle development requires extensive computing resources to accelerate the advanced driver assistance systems adas and automated driving systems ads development process join our webinar on nov 10 to learn how aws scale and 
4,4,4.0,0.9,"tesla, outperforms, systems, cadillac, second, distant, tslaq, tsla, close, automakers",crs deep dive into driving assistance systems cadillac's super cruise outperforms other adas - consumer reports 
5,5,0.0,0.9,"tesla, distant, second, self, full, sticker, gm, goes, beta, rated",lily h leishen-overseas business lidar autonomous driving sensor fusion adas v2x 
6,6,5.0,0.8875,"model, interior, great, long, order, visuals, performance, comfortable, engineers, amount",cr finds cadillacs supercruise outperforms other active driving assistance systems adas 
7,7,0.0,0.955,"tesla, distant, second, self, full, sticker, gm, goes, beta, rated",tesla autopilot 'a distant second' to gm's super cruise in hands-free test general motors co's super cruise once again edged tesla's autopilot in an evaluation of 17 vehicles equipped with active driving assistance systems adas by consumer reports the 
8,8,6.0,0.9591,"tesla, reports, full, gm, self, round, systems, consumer, active, best",tesla/gm's super cruise forsige - in an assessment of 17 vehicles fitted with active driving assistance systems adas by customer reports general motors co's gm n super cruise once again defeated tesla's tsla o autopilot the research organization said on wednesday 
9,9,3.0,0.9437,"self, tesla, gm, full, better, goes, distant, beta, rated, multi",check out accs applied health innovation consortium a multi-disciplinary group driving the thought leadership and evidence for application of artificialintelligence and digitaltechnology accinnovation transformcvcare 
10,10,6.0,0.9437,"tesla, reports, full, gm, self, round, systems, consumer, active, best",acc | what a battle phenomenal driving from our team in round 1 of the acr pro world tour last night catch up on all the action before round 2 jardier murphy 
11,11,6.0,0.9471,"tesla, reports, full, gm, self, round, systems, consumer, active, best"," ""an extensive jalopnik report details an anonymous person who bought a second-hand model s 75d with both enhanced autopilot and full self driving fsd as listed features "
12,12,0.0,0.91,"tesla, distant, second, self, full, sticker, gm, goes, beta, rated",as tesla full self-driving goes beta autopilot is rated a 'distant second' to gm's super cruise 
13,13,4.0,0.925,"tesla, outperforms, systems, cadillac, second, distant, tslaq, tsla, close, automakers", full self-driving option now costs $10k tesla selfdrivingcars fsd fullselfdriving autonomous autonomousvehicles autopilot teslaautopilot teslamotorsclub 
14,14,0.0,0.9625,"tesla, distant, second, self, full, sticker, gm, goes, beta, rated",flailing in the waning days of cars get ready for elon to go nuclear nonprofit product testing group consumer reports has determined that teslas autopilot driving assistance feature is a distant second to general motors super cruise futurism
15,15,1.0,0.8875,"self, tesla, study, cadillac, easy, safely, use, experts, iso, register",watch autopilot full self-driving hardware neighborhood short on vimeo 
16,16,7.0,0.9591,"tesla, teslas, gm, capabilities, autonomous, self, wide, cadillacs, areas, range",cadillacs super cruise autonomous system has been voted the best in the business even superior to teslas autopilot the report was done by and tested 17 brands self-driving capabilities in a wide range of areas thoughts tesla selfdriving gm 
17,17,3.0,0.9571,"self, tesla, gm, full, better, goes, distant, beta, rated, multi",you can't say fred didn't warn you report tesla autopilot teams motto is not to let the perfect be the enemy of the better tesla is getting self-driving cars to market first by being imperfect but better than humans 
18,18,0.0,0.91,"tesla, distant, second, self, full, sticker, gm, goes, beta, rated",as tesla full self-driving goes beta autopilot is rated a 'distant second' to gm's super cruise [
19,19,0.0,0.9182,"tesla, distant, second, self, full, sticker, gm, goes, beta, rated",as tesla full self-driving goes beta autopilot is rated a 'distant second' to gm's super cruise | zdnet 
20,20,3.0,0.9625,"self, tesla, gm, full, better, goes, distant, beta, rated, multi",as tesla full self-driving goes beta autopilot is rated a 'distant second' to gm's super cruise via credit zd net please visit our multi-lingual news magazine aggregator website and share it across 
21,21,1.0,0.9667,"self, tesla, study, cadillac, easy, safely, use, experts, iso, register", outlook meeting review in morning one pedal driving autopilot easy to use voice commands responsive screen easy to use menu sentry mode games supercharger network route planning using superchargers and the list goes on 
22,22,0.0,0.9609,"tesla, distant, second, self, full, sticker, gm, goes, beta, rated", if you buy a p3d for example it's because you love driving hence track mode handling and acceleration hence autopilot for $3k yes i don't need or want fsd at these prices if the $4k further upgrade price was still on offer i might consider it eventually $10k lolz for me 
