,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0.0,0.9308,"systems, traffic, year, take, around, emergency, techs, making, like, safer",advanced driverassistance systems adas has been around for a while now read here to know how emerging techs like emergency brakingassist fcw systems are making driving safer 
1,1,6.0,0.9357,"tesla, self, full, capability, back, upgrades, slashes, prices, prior, additional", i assumed wrongly there were much more fatalities associated with assisted driving tech but my definition adas is probably too broad thanks for your kind replies 
2,2,3.0,0.8875,"self, full, elon, tesla, capability, price, included, lord, extra, cost",experience safe and smart driving with vision-based advanced driver assistance systems adas 
3,3,6.0,0.9625,"tesla, self, full, capability, back, upgrades, slashes, prices, prior, additional","tesla's controversially named ""full self-driving capability"" package is back - back in october tesla removed a popular option from its online configurator while it continued to offer the semi-autonomous and advanced adaptive cruise control setup it calls autopilot you could "
4,4,1.0,0.8714,"full, self, tesla, vs, capability, enhanced, offers, owners, upgrading, model",tesla offers owners 50% off autopilot full self-driving - cleantechnica 
5,5,1.0,0.9182,"full, self, tesla, vs, capability, enhanced, offers, owners, upgrading, model",tesla enhanced autopilot vs full self-driving whats the distinction now electriccars ev greencars
6,6,9.0,0.8714,"self, full, tesla, prices, offers, slashes, upgrades, owners, late, friday",tesla offers owners 50% off autopilot full self-driving cleantechnica 
7,7,1.0,0.9625,"full, self, tesla, vs, capability, enhanced, offers, owners, upgrading, model",tesla enhanced autopilot vs full self-driving whats the difference now tesla has announced a 50% price reduction on autopilot and full self-driving capability for existing model s model x and model 3 vehicles interested cars autos automotive 
8,8,1.0,0.9437,"full, self, tesla, vs, capability, enhanced, offers, owners, upgrading, model","looks like i only have to pay $2k more making sense of tesla's latest autopilot upgrade details ""enhanced autopilot"" vs ""autopilot"" vs ""full self-driving"" $tsla"
9,9,4.0,0.95,"full, self, tesla, price, customer, bought, able, prior, capability, purchased",good news for those who bought a tesla prior to this weeks price adjustment all customers who bought tesla before price decrease will be able to buy the autopilot or full self-driving 
10,10,1.0,0.9308,"full, self, tesla, vs, capability, enhanced, offers, owners, upgrading, model",i tesla enhanced autopilot vs full self-driving whats the difference now rt if u know more about socialmedia_car game changer here 
11,11,9.0,0.9,"self, full, tesla, prices, offers, slashes, upgrades, owners, late, friday",tesla slashes prices of autopilot and full self-driving upgrades robocars ev 
12,12,1.0,0.925,"full, self, tesla, vs, capability, enhanced, offers, owners, upgrading, model","making sense of tesla's latest autopilot upgrade details ""enhanced autopilot"" vs ""autopilot"" vs ""full self-driving"" "
13,13,1.0,0.8875,"full, self, tesla, vs, capability, enhanced, offers, owners, upgrading, model",tesla enhanced autopilot vs full self-driving whats the difference now 
