,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,0.0,0.9182,"seo, self, new, offering, brightedge, promises, lead, cars, technology, marketing",adas-enabled cars may lead to more stable driving resulting in less wear and tear on the vehicle 
1,1,7.0,0.925,"self, dont, search, new, engine, dyson, experience, offering, land, seo",read the latest technical piece about adas as the advanced driver assist systems start to make driving safer but repairs more complex 
2,2,1.0,0.9625,"seo, self, offering, new, human, yu, involvement, optimized, promises, perform",we are visiting the design department where all the innovationbyrenault happens hadi zablit laurens van den acker start the presentation with our iconic best-seller car renaultclio combining safety and ease using multiple driving aids adas 
3,3,4.0,0.82,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo with new autopilot offering 
4,4,3.0,0.9182,"seo, please, self, new, tesla, autonomous, drive, offering, according, fully",could the startup's tech be used to get tesla's autopilot autonomous driving mode on the road tesla 
5,5,4.0,0.775,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo with new autopilotoffering 
6,6,5.0,0.9591,"seo, new, self, offering, get, metric, every, kelly, network, clearly", just listened to your interview with kelly funkhouse wow i get smart summon is new and is far from perfect even usable in most cases what blew my mind is how she trashed autopilot / noa her team is clearly not driving autopilot regularly
7,7,2.0,0.8714,"seo, offering, new, self, brightedge, promises, marketing, onlinemarketing, blogging, wordpress",brightedge promises self-driving seo with new autopilot offering 
8,8,7.0,0.9625,"self, dont, search, new, engine, dyson, experience, offering, land, seo", so true driving 220 mile round trip visiting family in socal this weekend used autopilot 95% only three manual corrections found it very cool that autopilot now moves to left side of lane while passing semi trucks gets better with each update 
9,9,4.0,0.85,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo' with new autopilot offering - via 
10,10,4.0,0.85,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo with new autopilot offering seo
11,11,8.0,0.9308,"new, self, seo, offering, tesla, option, summon, customers, released, feature","tesla released a new ""smart summon"" feature for the customers who bought the ""full self driving"" option for tesla autopilot "
12,12,3.0,0.7119,"seo, please, self, new, tesla, autonomous, drive, offering, according, fully",brightedgepromises self-driving seo' with new autopilot offering key seo tasks can now be fully automated according to the company please visit search engine land for the full article 
13,13,4.0,0.9609,"seo, new, self, offering, search, engine, land, via, brightedge, promises", having that seat in the center will change the game one more time 1 the vision will be better specially when driving a lot 2 autopilot will make truck drivers get less stressful trips 2 right driving countries wouldnt have to wait until they produce it 
14,14,3.0,0.9308,"seo, please, self, new, tesla, autonomous, drive, offering, according, fully",does your seo drive value brightedgepromises self-driving seo' with new autopilot offering | contact-us to learn more business marketing hyperwavemarketing
15,15,0.0,0.9308,"seo, self, new, offering, brightedge, promises, lead, cars, technology, marketing",brightedge promises self-driving seo with new autopilot offering event vits marketing news technology entrepreneurship vitsusa
16,16,4.0,0.8875,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises 'self-driving seo' with new autopilot offering - search engine land 
17,17,4.0,0.85,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo with new autopilot offering via 
18,18,7.0,0.9654,"self, dont, search, new, engine, dyson, experience, offering, land, seo", i dont mind i buy your vacuum cleaners but id rather get a tesla car than a dyson you dont have any experience in building cars + you dont have any experience in autonomous driving i want autopilot and you probably cant compete here but i still like dyson 
19,19,4.0,0.9182,"seo, new, self, offering, search, engine, land, via, brightedge, promises",top story brightedgepromises 'self-driving seo' with new autopilot offering - search engine land see more 
20,20,4.0,0.82,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo' with new autopilot offering 
21,21,2.0,0.955,"seo, offering, new, self, brightedge, promises, marketing, onlinemarketing, blogging, wordpress",brightedge promises self-driving seo with new autopilot offering | seo blogging linkbuilding articlewriting guestposting wordpress marketing googleadwords onlinemarketing emailmarketing contact debasis website 
22,22,4.0,0.91,"seo, new, self, offering, search, engine, land, via, brightedge, promises", brightedgepromises self-driving seo with new autopilot offering zirigozagroup e-commerce marketing enkil es 8020 
23,23,4.0,0.91,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedge promises 'self-driving seo' with new autopilot offering - search engine land 
24,24,4.0,0.91,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedge promises self-driving seo with new autopilot offering by gsterling via sengineland
25,25,4.0,0.85,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo with new autopilot offering | via 
26,26,6.0,0.543,"tran, tin, tintran, trantantin, trantin, offering, seo, self, new, game",brightedgepromises self-driving seo with new autopilot offering tin tran 0919992336 tin tran tintran trantantin trantin
27,27,4.0,0.9,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises 'self-driving seo' with new autopilot offering - search engine land see more 
28,28,3.0,0.95,"seo, please, self, new, tesla, autonomous, drive, offering, according, fully",brightedgepromises self-driving seo with new autopilot offeringkey seo tasks can now be fully automated according to the company please visit search engine land for the full article 
29,29,4.0,0.85,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo with new autopilot offering seo 
30,30,5.0,0.9571,"seo, new, self, offering, get, metric, every, kelly, network, clearly", every single metric speed range technology autopilot enviromental impact charging network iphone app entertainment updates full self-driving best batteries no maintenance looks there is more
31,31,4.0,0.8714,"seo, new, self, offering, search, engine, land, via, brightedge, promises", brightedgepromises self-driving seo with new autopilot offering seo search
32,32,4.0,0.5261,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgeguarantees 'self-driving search engine marketing' with new autopilot providing - search engine land - 
33,33,4.0,0.85,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo with new autopilot offering marketing 
34,34,3.0,0.9591,"seo, please, self, new, tesla, autonomous, drive, offering, according, fully"," interesting can you please ask him if the car is actually capable of autonomous driving or if he merely uses it as a crutch to augment his impaired driving ability because i too *joke* at times that ""yeah i can drink all i want autopilot will drive me home anyway"
35,35,1.0,0.9609,"seo, self, offering, new, human, yu, involvement, optimized, promises, perform",brightedge promises self-driving seo with new autopilot offering yu explained that autopilot can perform a number of important seo functions with no human involvement among them orphan pages are automatically fixed optimized and connected 
36,36,2.0,0.8875,"seo, offering, new, self, brightedge, promises, marketing, onlinemarketing, blogging, wordpress",brightedge promises self-driving seo with new autopilot offering searchengine
37,37,3.0,0.712,"seo, please, self, new, tesla, autonomous, drive, offering, according, fully",brightedgepromises self-driving seo with new autopilot offering - key seo tasks can now be fully automated according to the company please visit search engine land for the full article 
38,38,4.0,0.8875,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo with new autopilot offering ai is coming to seo 
39,39,4.0,0.5208,"seo, new, self, offering, search, engine, land, via, brightedge, promises",brightedgepromises self-driving seo with new autopilot offering socialmediatips 
